# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 65536, 170.593, 0.326876
hpce.fast_fourier_transform, 8, 8, 77935, 210.73, 0.494518
hpce.fast_fourier_transform, 8, 8, 92681, 135.635, 0.491
hpce.fast_fourier_transform, 8, 8, 110217, 36.6949, 0.650964
hpce.fast_fourier_transform, 8, 8, 131072, 102.951, 0.657319
hpce.fast_fourier_transform, 8, 8, 155871, 342.758, 0.994861
hpce.fast_fourier_transform, 8, 8, 185363, 167.773, 0.999223
hpce.fast_fourier_transform, 8, 8, 220435, 194.78, 1.34159
hpce.fast_fourier_transform, 8, 8, 262144, 155.101, 1.33117
hpce.fast_fourier_transform, 8, 8, 311743, 162.756, 2.00117
hpce.fast_fourier_transform, 8, 8, 370727, 71.2571, 2.0072
hpce.fast_fourier_transform, 8, 8, 440871, 168.343, 2.6322
hpce.fast_fourier_transform, 8, 8, 524288, 159.571, 2.65236
hpce.fast_fourier_transform, 8, 8, 623487, 537.712, 3.99592
hpce.fast_fourier_transform, 8, 8, 741455, 428.475, 3.99376
hpce.fast_fourier_transform, 8, 8, 881743, 315.415, 5.31987
