# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 92681, 135.635, 0.455643
hpce.fast_fourier_transform, 8, 8, 110217, 36.6949, 0.552567
hpce.fast_fourier_transform, 8, 8, 131072, 102.951, 0.557163
hpce.fast_fourier_transform, 8, 8, 155871, 342.758, 0.851131
hpce.fast_fourier_transform, 8, 8, 185363, 167.773, 0.927779
hpce.fast_fourier_transform, 8, 8, 220435, 194.78, 1.12628
hpce.fast_fourier_transform, 8, 8, 262144, 155.101, 1.0484
hpce.fast_fourier_transform, 8, 8, 311743, 162.756, 1.6192
hpce.fast_fourier_transform, 8, 8, 370727, 71.2571, 1.8533
hpce.fast_fourier_transform, 8, 8, 440871, 168.343, 2.12836
hpce.fast_fourier_transform, 8, 8, 524288, 159.571, 2.15132
hpce.fast_fourier_transform, 8, 8, 623487, 537.712, 3.58718
hpce.fast_fourier_transform, 8, 8, 741455, 428.475, 3.8813
hpce.fast_fourier_transform, 8, 8, 881743, 315.415, 4.49789
hpce.fast_fourier_transform, 8, 8, 1048576, 837.071, 4.4114
hpce.fast_fourier_transform, 8, 8, 1246974, 987.911, 7.09094
# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 16, 4.9362, 3.54537e-005
hpce.fast_fourier_transform, 8, 8, 19, 1.60788, 0.000314885
hpce.fast_fourier_transform, 8, 8, 22, 2.40711, 7.79048e-005
hpce.fast_fourier_transform, 8, 8, 26, 1.26226, 9.42322e-005
hpce.fast_fourier_transform, 8, 8, 32, 2.81322, 9.65646e-005
hpce.fast_fourier_transform, 8, 8, 38, 6.15568, 0.000167005
hpce.fast_fourier_transform, 8, 8, 45, 2.95318, 0.000158142
hpce.fast_fourier_transform, 8, 8, 53, 4.7473, 0.000204325
hpce.fast_fourier_transform, 8, 8, 64, 14.1985, 0.000196861
hpce.fast_fourier_transform, 8, 8, 76, 1.65633, 0.000351738
hpce.fast_fourier_transform, 8, 8, 90, 7.4357, 0.000321416
hpce.fast_fourier_transform, 8, 8, 107, 3.58678, 0.000397921
hpce.fast_fourier_transform, 8, 8, 128, 5.53084, 0.000427777
hpce.fast_fourier_transform, 8, 8, 152, 7.99258, 0.000656826
hpce.fast_fourier_transform, 8, 8, 181, 8.10526, 0.000664757
hpce.fast_fourier_transform, 8, 8, 215, 5.97507, 0.000814035
hpce.fast_fourier_transform, 8, 8, 256, 4.86155, 0.000821966
hpce.fast_fourier_transform, 8, 8, 304, 22.3973, 0.00124648
hpce.fast_fourier_transform, 8, 8, 362, 4.18397, 0.00126514
